                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71384,                0.63333,                 1.0266,                 0.8743,                0.88156,                0.97833,                0.75084,                0.95258,                 0.8062,                 1.1973,             0.00019271,             0.00019271,             0.00019271
                     36,                0.71449,                0.59349,                 1.0182,                0.87338,                0.86816,                 0.9765,                0.73938,                0.97851,                 0.8255,                  1.184,              0.0001817,              0.0001817,              0.0001817
                     37,                0.71646,                  0.592,                 1.0266,                0.87754,                0.87564,                0.97266,                0.73375,                 1.0093,                0.72148,                 1.1997,             0.00017069,             0.00017069,             0.00017069
                     38,                0.68125,                0.56546,                0.99199,                0.86548,                0.88738,                0.96647,                0.71438,                 0.9571,                 0.7544,                  1.164,             0.00015968,             0.00015968,             0.00015968
                     39,                0.64637,                0.53756,                0.98888,                0.86912,                0.90903,                0.96071,                0.72273,                0.89951,                0.80725,                 1.1216,             0.00014867,             0.00014867,             0.00014867
                     40,                0.63468,                0.55169,                0.97046,                0.86064,                0.90005,                0.96351,                0.73537,                0.87646,                0.78025,                 1.1276,             0.00013767,             0.00013767,             0.00013767
                     41,                0.64215,                0.50637,                0.98267,                0.86741,                0.89264,                0.96109,                0.73441,                0.88909,                 0.7995,                 1.1448,             0.00012666,             0.00012666,             0.00012666
                     42,                0.63851,                0.57293,                  1.018,                0.91117,                0.85959,                 0.9574,                0.72427,                0.90637,                0.86191,                 1.1537,             0.00011565,             0.00011565,             0.00011565
                     43,                0.61676,                0.52589,                 0.9755,                0.89454,                  0.865,                0.97112,                 0.6956,                0.94948,                0.88706,                  1.162,             0.00010464,             0.00010464,             0.00010464
                     44,                0.61436,                0.51864,                0.98103,                 0.8917,                0.87357,                 0.9715,                0.71971,                0.94712,                0.86598,                 1.1405,              9.363e-05,              9.363e-05,              9.363e-05
                     45,                0.61585,                0.53352,                 1.0043,                0.88843,                0.88577,                0.96912,                0.71867,                0.91135,                 0.8285,                 1.1305,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     46,                0.64776,                0.49923,                 1.0139,                 0.8918,                0.88821,                0.96926,                0.72288,                 0.8701,                0.79537,                 1.1172,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     47,                0.59738,                0.49085,                0.96668,                 0.9302,                0.88567,                0.97392,                0.72994,                0.87139,                0.79454,                 1.1157,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     48,                0.54591,                0.45077,                0.94049,                0.92512,                0.88673,                0.97753,                0.71972,                0.88302,                0.80142,                 1.1325,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     49,                0.55042,                 0.4642,                0.96409,                0.92701,                0.89407,                0.97727,                0.71243,                0.88518,                0.79637,                  1.138,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     50,                0.51251,                0.43065,                0.94297,                0.92511,                0.90183,                0.97727,                0.71833,                0.87811,                 0.7889,                 1.1374,             2.7578e-05,             2.7578e-05,             2.7578e-05
